variant,label,freeze_mode,lmbda,quality,avg_estimated_bpp,avg_coded_bpp,avg_psnr,avg_ms_ssim,avg_ms_ssim_db,avg_forward_ms,avg_encode_ms,avg_decode_ms,avg_codec_total_ms,avg_forward_mpix_per_s,avg_encode_mpix_per_s,avg_decode_mpix_per_s,avg_codec_total_mpix_per_s,total_params,run_name
A,Pretrained Baseline,pretrained_reference,0.0067,3,0.3194861316846477,0.3198581271701389,30.972168416891108,0.9610564261674881,14.27296720198368,11.92413487478916,75.60995266794635,95.66438774830506,171.27434041625142,32.976480401220954,5.200585189186314,4.110369691954327,2.295825510373354,5075843,variant_A_lmbda_0.0067_quality_3_mse_reference_20260528_194012
A,Pretrained Baseline,pretrained_reference,0.013,4,0.477700620630963,0.47835625542534715,32.838191087683875,0.9748740245898565,16.175700887341847,12.398676791538795,75.25689991598483,95.78035912515286,171.03725904113767,31.714351991846552,5.224982698449947,4.105392834100761,2.299007843112267,5075843,variant_A_lmbda_0.013_quality_4_mse_reference_20260528_194012
B,Encoder SE,attention_only,0.0018,1,0.13074953017187202,0.13092041015625,27.573311312773267,0.9170893008510271,10.994346991351426,11.725354833591458,75.45994741728161,94.93316325157745,170.39311066885907,33.53553095668309,5.210923323674976,4.142029892735784,2.3076989348716896,5078027,variant_B_lmbda_0.0018_quality_1_mse_freeze_attention_only_20260528_011518
B,Encoder SE,none,0.0018,1,0.1312372102919552,0.131622314453125,27.557746520346257,0.9164740815758705,10.95527258654297,11.528014708649911,77.12881325096532,92.69849499954337,169.8273082505087,34.10960255844876,5.098172569057111,4.241881165405512,2.3153873428881964,5078027,variant_B_lmbda_0.0018_quality_1_mse_freeze_none_20260528_011518
B,Encoder SE,frozen_hyperprior,0.0018,1,0.1318290656070328,0.13203260633680558,27.56178314933905,0.9170079305768013,10.985003809410818,11.580357623339902,72.29537325110869,91.35939833140583,163.6547715825145,33.955428043731885,5.439020262530699,4.304056366194649,2.4027163778829452,5078027,variant_B_lmbda_0.0018_quality_1_mse_freeze_frozen_hyperprior_20260528_011518
B,Encoder SE,attention_only,0.0035,2,0.20860635763448143,0.20881483289930558,29.19277408860853,0.9419492880503336,12.539175783131471,11.548920042211344,74.260026665191,92.5436271639531,166.8036538291441,34.0478588961387,5.295123334292013,4.248979773651691,2.3573584329439723,5078027,variant_B_lmbda_0.0035_quality_2_mse_freeze_attention_only_20260528_011518
B,Encoder SE,none,0.0035,2,0.21083855125794396,0.21132405598958334,29.20964481777196,0.9419785415132841,12.540026287957597,11.517329832107256,73.86504691385198,93.70401937364174,167.5690662874937,34.14124677612499,5.323438032315929,4.196362147839827,2.346590625058267,5078027,variant_B_lmbda_0.0035_quality_2_mse_freeze_none_20260528_011518
B,Encoder SE,frozen_hyperprior,0.0035,2,0.2112478028413736,0.21152750651041666,29.190151098669986,0.9422746698061625,12.560172521893675,11.569559667501986,74.00840458224896,93.39888291833631,167.40728750058528,33.98711889653967,5.313126289096003,4.2100717665307625,2.348858319555684,5078027,variant_B_lmbda_0.0035_quality_2_mse_freeze_frozen_hyperprior_20260528_011518
B,Encoder SE,attention_only,0.0067,3,0.31988865483759177,0.3202616373697917,30.975931009618638,0.9610186566909155,14.269139736688535,11.575337127093613,74.9059801249435,93.05345658079507,167.95943670573857,33.97015531233434,5.249460715207438,4.225700091630495,2.3411366917650853,5078027,variant_B_lmbda_0.0067_quality_3_mse_freeze_attention_only_20260528_011518
B,Encoder SE,frozen_hyperprior,0.0067,3,0.3263074068559541,0.3267923990885417,31.07482341259048,0.9615555157264074,14.334609724285682,11.574108249381728,72.48559154140821,91.15441341661305,163.64000495802125,33.973762084090154,5.424747065427078,4.313735180356454,2.402933195344697,5078027,variant_B_lmbda_0.0067_quality_3_mse_freeze_frozen_hyperprior_20260528_011518
B,Encoder SE,none,0.0067,3,0.3267965532011456,0.32755194769965273,31.086954604832425,0.9614090497295061,14.319124736062465,11.513294707280389,73.8758033336732,94.668920208278,168.54472354195119,34.153212438082676,5.322662932326705,4.153591264534319,2.333006882307577,5078027,variant_B_lmbda_0.0067_quality_3_mse_freeze_none_20260528_011518
B,Encoder SE,attention_only,0.013,4,0.4771213258823586,0.4777865939670139,32.829857091122975,0.9748186791936556,16.16616740398484,11.525576292115147,71.86894858568849,91.14769679278349,163.01664537847196,34.11681898014992,5.471291952061512,4.314053057138054,2.4121217749701542,5078027,variant_B_lmbda_0.013_quality_4_mse_freeze_attention_only_20260528_011518
B,Encoder SE,none,0.013,4,0.48700594436377287,0.48809475368923616,32.99545702700147,0.974871963262558,16.18640360479562,11.662441584727882,74.92011850020693,94.30773583335395,169.22785433356088,33.71643897577343,5.248470075483316,4.169498891319272,2.3235891133202076,5078027,variant_B_lmbda_0.013_quality_4_mse_freeze_none_20260528_011518
B,Encoder SE,frozen_hyperprior,0.013,4,0.4880546576136517,0.4888780381944445,32.985786380351044,0.974903886516889,16.192937150758734,11.546999750862597,74.4226763339005,92.62416429191944,167.04684062581995,34.05352112964457,5.283550919827443,4.245285266604066,2.353926590451312,5078027,variant_B_lmbda_0.013_quality_4_mse_freeze_frozen_hyperprior_20260528_011518
C,Encoder+Decoder SE,attention_only,0.0018,1,0.13098124390105823,0.13113742404513887,27.58159714262582,0.9170976604024569,10.995121927994132,11.667362248772406,73.23477341560647,91.41304937596335,164.64782279156984,33.702219200520034,5.369252633151521,4.301530281336336,2.388224717054279,5080211,variant_C_lmbda_0.0018_quality_1_mse_freeze_attention_only_20260528_011518
